match_id,B365H,B365D,B365A,odds_p_home,odds_p_draw
3900619,2.25,3.1,3.5,0.4222,0.3064
3900618,1.18,6.5,21.0,0.8079,0.1467
3900615,1.91,3.3,4.5,0.4992,0.2889
3900614,1.75,3.5,5.0,0.5405,0.2703
3900613,2.2,3.25,3.5,0.4337,0.2936
3900612,1.62,3.8,6.0,0.5895,0.2513
3900611,1.44,4.0,9.0,0.6579,0.2368
3900610,2.6,3.2,2.88,0.3683,0.2992
3900581,2.4,3.0,3.3,0.3957,0.3165
3900580,2.05,3.1,4.0,0.46,0.3042
3900579,2.5,3.0,3.1,0.3788,0.3157
3900578,1.85,3.4,4.75,0.5172,0.2814
3900577,1.62,3.75,6.0,0.5875,0.2538
3900576,2.4,3.1,3.25,0.398,0.3081
3900575,2.6,3.1,2.9,0.3656,0.3066
3900574,1.33,5.0,9.0,0.7073,0.1881
3900573,2.5,3.0,3.2,0.3825,0.3187
3900572,1.62,3.75,6.0,0.5875,0.2538
3900571,2.0,3.25,4.2,0.4781,0.2942
3900569,1.91,3.3,4.5,0.4992,0.2889
3900566,2.45,3.1,3.1,0.3875,0.3062
3900565,2.15,3.1,3.75,0.4411,0.3059
3900564,4.2,3.5,1.91,0.2273,0.2728
3900563,2.5,3.0,3.2,0.3825,0.3187
3900562,7.0,4.2,1.5,0.1364,0.2273
3900561,2.55,3.1,3.0,0.3742,0.3078
3900560,2.3,3.25,3.2,0.4121,0.2917
3900559,1.4,4.75,8.0,0.6804,0.2005
3900558,2.05,3.25,4.0,0.4666,0.2943
3900557,1.25,5.5,13.0,0.7556,0.1717
3900556,2.4,3.0,3.3,0.3957,0.3165
3900555,2.38,3.1,3.3,0.4018,0.3085
3900554,2.38,3.1,3.3,0.4018,0.3085
3900553,2.6,3.1,2.9,0.3656,0.3066
3900552,2.0,3.3,4.0,0.4748,0.2878
3900551,1.75,3.5,5.25,0.5455,0.2727
3900550,2.38,3.25,3.2,0.4039,0.2958
3900543,1.67,3.75,5.5,0.5718,0.2546
3900542,2.4,3.1,3.25,0.398,0.3081
3900527,1.95,3.5,4.0,0.4891,0.2725
3900526,2.9,2.9,2.8,0.3294,0.3294
3900525,1.91,3.2,4.75,0.5003,0.2986
3900524,2.8,3.2,2.6,0.3388,0.2964
3900520,1.57,3.8,6.5,0.6043,0.2497
3900516,2.45,3.25,3.0,0.389,0.2933
3900513,3.6,3.2,2.15,0.2632,0.2961
3900512,2.1,3.25,3.75,0.4533,0.2929
3900510,3.4,3.4,2.15,0.2792,0.2792
3900509,1.95,3.5,4.0,0.4891,0.2725
3900508,2.3,3.1,3.4,0.4135,0.3068
3900507,1.67,4.0,5.0,0.5709,0.2384
3900503,1.67,3.5,6.0,0.5696,0.2718
3900502,1.67,3.75,5.5,0.5718,0.2546
3900501,1.18,7.0,17.0,0.8078,0.1362
3900500,2.88,3.0,2.7,0.3304,0.3172
3900499,4.0,3.1,2.1,0.2384,0.3076
3900498,1.6,3.75,6.5,0.5978,0.2551
3900497,2.38,3.2,3.2,0.402,0.299
3900496,2.1,3.25,3.75,0.4533,0.2929
3900495,2.9,3.1,2.6,0.3278,0.3066
3900494,4.2,3.4,1.95,0.2278,0.2814
3900493,5.5,3.6,1.7,0.1735,0.2651
3900492,2.0,3.3,4.0,0.4748,0.2878
3900490,7.5,4.0,1.5,0.127,0.2381
3829438,2.2,3.3,3.4,0.4322,0.2881
3829413,6.5,3.6,1.57,0.144,0.26
3829428,2.2,3.4,3.25,0.4303,0.2784
3829522,2.0,3.25,4.2,0.4781,0.2942
3829521,1.5,3.8,7.5,0.6271,0.2475
3829520,3.0,3.1,2.5,0.3157,0.3055
3829517,3.4,3.3,2.2,0.2797,0.2881
3829516,2.4,3.1,3.2,0.3962,0.3067
3829515,1.95,3.3,4.2,0.4866,0.2875
3829511,1.75,3.6,5.0,0.5446,0.2648
3829509,1.57,4.0,6.0,0.6045,0.2373
3829508,2.5,3.2,2.9,0.3783,0.2956
3829507,2.05,3.3,3.8,0.4628,0.2875
3829506,2.6,3.1,2.9,0.3656,0.3066
3829505,1.5,3.8,8.0,0.632,0.2495
3829504,10.0,5.0,1.33,0.0951,0.1901
3829503,1.95,3.3,4.2,0.4866,0.2875
3829502,2.55,3.2,2.9,0.3737,0.2978
3829501,1.85,3.4,4.75,0.5172,0.2814
3829500,1.33,5.0,10.0,0.7148,0.1901
3829498,2.6,3.2,2.8,0.3648,0.2964
3829497,2.63,3.1,2.88,0.3621,0.3072
3829494,3.1,3.2,2.4,0.3067,0.2971
3829493,2.0,3.1,4.33,0.4746,0.3062
3829492,1.85,3.2,5.0,0.5133,0.2968
3829491,1.4,4.5,8.5,0.6776,0.2108
3829490,1.73,3.6,5.25,0.5525,0.2655
3829489,2.2,3.25,3.5,0.4337,0.2936
3829488,3.25,3.1,2.38,0.2929,0.3071
3829487,1.75,3.6,5.0,0.5446,0.2648
3829486,2.88,3.1,2.63,0.3307,0.3072
3829485,1.73,3.5,5.5,0.5528,0.2733
3829484,2.75,3.0,2.8,0.345,0.3162
3829483,10.0,4.33,1.4,0.0957,0.221
3829482,2.7,3.1,2.8,0.3527,0.3072
3829481,3.2,3.1,2.4,0.2971,0.3067
3829480,3.4,3.1,2.3,0.2797,0.3068
3829477,2.9,3.1,2.6,0.3278,0.3066
3829476,1.5,4.0,7.5,0.6349,0.2381
3829475,2.7,3.0,2.88,0.3524,0.3172
3829474,2.5,3.0,3.2,0.3825,0.3187
3829473,1.2,6.5,17.0,0.7967,0.1471
3829472,2.05,3.3,3.8,0.4628,0.2875
3829471,2.1,3.1,4.0,0.454,0.3076
3829468,1.85,3.3,4.75,0.5128,0.2875
3829467,2.15,3.1,3.75,0.4411,0.3059
3829465,8.0,4.75,1.4,0.1191,0.2005
3829464,2.25,3.1,3.5,0.4222,0.3064
3829463,2.38,3.0,3.4,0.4011,0.3182
3829462,4.5,3.3,1.91,0.2119,0.2889
3829461,1.44,4.2,8.5,0.6613,0.2267
3829460,2.6,2.88,3.1,0.3648,0.3293
3829458,2.0,3.5,3.75,0.4751,0.2715
3829457,2.5,3.1,3.1,0.3827,0.3086
3829456,1.91,3.3,4.5,0.4992,0.2889
3829455,2.25,3.2,3.4,0.4229,0.2973
3829453,1.25,5.75,13.0,0.7613,0.1655
3829452,2.0,3.25,4.2,0.4781,0.2942
3829451,1.73,3.4,5.75,0.5526,0.2812
3829450,4.2,3.25,2.0,0.2277,0.2942
3829449,2.15,3.25,3.6,0.4427,0.2929
3829448,2.25,3.1,3.5,0.4222,0.3064
3829447,1.4,4.0,10.0,0.6711,0.2349
3829446,2.5,3.1,3.0,0.3788,0.3055
3829444,3.3,3.3,2.25,0.2885,0.2885
3829443,4.0,3.3,2.0,0.2374,0.2878
3829442,2.1,3.2,3.8,0.4527,0.2971
3829441,1.62,3.8,6.0,0.5895,0.2513
3829440,2.63,3.0,3.0,0.3632,0.3184
3829437,2.3,3.0,3.6,0.4157,0.3187
3829436,2.2,3.1,3.6,0.4309,0.3058
3829435,1.57,3.75,7.0,0.6087,0.2548
3829434,2.3,3.0,3.4,0.4093,0.3138
3829432,1.11,10.0,21.0,0.8592,0.0954
3829431,1.85,3.4,4.75,0.5172,0.2814
3829430,3.5,3.25,2.2,0.2726,0.2936
3829429,2.25,3.1,3.5,0.4222,0.3064
3829427,2.15,3.25,3.6,0.4427,0.2929
3829426,3.6,3.25,2.15,0.2644,0.2929
3829425,2.5,3.1,3.1,0.3827,0.3086
3829424,1.95,3.4,4.2,0.4907,0.2814
3829423,1.62,3.6,6.5,0.5885,0.2648
3829422,1.57,4.0,6.0,0.6045,0.2373
3829421,3.1,3.1,2.4,0.3038,0.3038
3829420,1.67,3.75,5.5,0.5718,0.2546
3829419,1.83,3.4,4.75,0.5199,0.2798
3829418,2.2,3.1,3.6,0.4309,0.3058
3829417,2.05,3.2,3.75,0.4572,0.2929
3829415,2.6,3.1,2.8,0.3614,0.3031
3829414,1.57,4.0,6.0,0.6045,0.2373
3754058,1.91,3.75,4.33,0.5127,0.2611
3754245,2.05,3.4,4.2,0.4782,0.2883
3754136,2.05,3.5,4.0,0.4766,0.2791
3754037,2.0,3.8,3.8,0.4872,0.2564
3754039,2.25,3.3,3.6,0.4335,0.2956
3754041,1.17,9.0,17.0,0.8342,0.1084
3754042,2.4,3.6,3.0,0.4054,0.2703
3754043,1.53,4.33,7.0,0.6362,0.2248
3754045,4.33,4.0,1.85,0.2261,0.2447
3754048,2.9,3.4,2.6,0.3369,0.2873
3754049,1.5,4.33,6.0,0.6264,0.217
3754050,2.5,3.3,3.1,0.39,0.2955
3754052,2.25,3.3,3.6,0.4335,0.2956
3754053,7.5,4.5,1.5,0.1304,0.2174
3754055,2.0,3.8,3.8,0.4872,0.2564
3754226,5.5,3.9,1.7,0.1771,0.2498
3754014,3.25,3.2,2.3,0.2917,0.2962
3754091,2.1,3.3,4.0,0.4627,0.2944
3754135,5.25,4.0,1.7,0.1852,0.243
3754293,3.8,3.6,2.05,0.2558,0.27
3754339,2.55,3.3,3.0,0.3813,0.2946
3754146,2.5,3.4,3.0,0.3893,0.2863
3754347,1.44,4.5,9.0,0.6757,0.2162
3754255,1.4,4.75,10.0,0.697,0.2054
3754278,2.1,3.5,3.8,0.4645,0.2787
3753979,1.57,4.0,7.0,0.6185,0.2428
3753972,1.91,3.6,4.5,0.5115,0.2714
3753978,2.05,3.4,4.2,0.4782,0.2883
3753974,3.2,3.5,2.2,0.2968,0.2714
3753993,2.5,3.3,3.1,0.39,0.2955
3753983,5.0,4.0,1.75,0.1958,0.2448
3754015,2.6,3.5,2.8,0.3743,0.2781
3754038,6.0,4.2,1.62,0.1631,0.233
3754001,6.0,4.2,1.62,0.1631,0.233
3754007,1.95,3.4,4.5,0.4983,0.2858
3754008,1.2,7.5,16.0,0.8097,0.1296
3754029,1.44,4.75,8.0,0.6742,0.2044
3753995,1.83,3.7,4.8,0.5331,0.2637
3753999,6.0,4.2,1.62,0.1631,0.233
3754017,3.0,3.3,2.6,0.3265,0.2968
3754006,2.9,3.4,2.6,0.3369,0.2873
3754023,2.2,3.6,3.4,0.4428,0.2706
3753984,1.36,5.5,9.0,0.7151,0.1768
3754011,3.1,3.3,2.5,0.3145,0.2955
3754010,2.5,3.3,3.1,0.39,0.2955
3754028,1.6,4.33,6.0,0.6112,0.2258
3753996,1.4,5.0,9.0,0.6966,0.195
3754025,1.33,5.25,12.0,0.733,0.1857
3754068,2.3,3.25,3.5,0.4229,0.2993
3754056,1.95,3.6,4.2,0.4985,0.27
3754040,1.67,4.0,5.75,0.5855,0.2444
3754074,2.75,3.25,2.8,0.3536,0.2992
3754076,3.2,3.4,2.4,0.3054,0.2874
3754067,2.0,3.6,4.0,0.4865,0.2703
3754079,1.25,7.0,13.0,0.7845,0.1401
3754090,2.4,3.4,3.2,0.4072,0.2874
3754083,1.36,5.0,11.0,0.7165,0.1949
3754077,1.29,6.5,11.0,0.76,0.1508
3754060,2.7,3.4,2.8,0.3625,0.2879
3754073,1.36,5.25,9.5,0.7132,0.1847
3754085,2.7,3.4,2.75,0.3602,0.2861
3754047,1.44,4.75,8.0,0.6742,0.2044
3754051,4.2,3.6,1.95,0.2315,0.27
3754093,2.6,3.4,2.9,0.3758,0.2873
3754046,2.1,3.6,3.75,0.4666,0.2722
3754072,2.9,3.3,2.63,0.3354,0.2948
3754082,1.5,4.5,7.5,0.6522,0.2174
3754106,1.91,3.75,4.33,0.5127,0.2611
3754099,1.83,3.6,5.0,0.5335,0.2712
3754098,2.1,3.5,3.75,0.463,0.2778
3754057,1.4,4.75,8.0,0.6804,0.2005
3754112,2.88,3.3,2.7,0.3402,0.2969
3754117,6.5,4.2,1.57,0.1495,0.2314
3754104,2.3,3.3,3.5,0.4248,0.2961
3754054,1.2,7.0,13.0,0.7913,0.1357
3754113,1.5,4.5,7.5,0.6522,0.2174
3754107,5.5,3.8,1.73,0.1777,0.2572
3754105,3.1,3.3,2.5,0.3145,0.2955
3754097,1.65,4.0,6.0,0.5926,0.2444
3754102,2.6,3.4,2.88,0.3749,0.2867
3754115,1.33,5.75,10.0,0.733,0.1695
3754148,4.33,3.6,1.95,0.2261,0.2719
3754169,1.7,4.0,5.5,0.5767,0.2451
3754174,4.5,4.0,1.8,0.2162,0.2432
3754185,4.33,3.4,2.0,0.2253,0.2869
3754162,3.4,3.4,2.3,0.2875,0.2875
3754096,2.63,3.3,2.9,0.3698,0.2948
3754171,2.0,3.8,3.8,0.4872,0.2564
3754119,2.6,3.4,2.9,0.3758,0.2873
3754126,1.44,4.75,8.0,0.6742,0.2044
3754133,2.0,3.5,4.2,0.4884,0.2791
3754167,1.29,6.0,12.0,0.7561,0.1626
3754145,5.75,4.0,1.67,0.1701,0.2444
3754153,2.5,3.2,3.2,0.3902,0.3049
3754143,5.75,4.33,1.62,0.1701,0.2259
3754186,3.1,3.5,2.4,0.3147,0.2788
3754130,2.05,3.6,3.8,0.4742,0.27
3754188,2.7,3.4,2.8,0.3625,0.2879
3754178,2.75,3.3,2.8,0.3552,0.296
3754157,2.9,3.6,2.5,0.3372,0.2716
3754166,2.1,3.75,3.6,0.4666,0.2613
3754211,2.88,3.6,2.5,0.3388,0.271
3754150,3.2,3.3,2.45,0.3053,0.296
3754160,1.29,6.0,13.0,0.7609,0.1636
3754218,2.6,3.3,3.0,0.3767,0.2968
3754217,2.45,3.5,3.0,0.3974,0.2781
3754205,6.0,4.2,1.62,0.1631,0.233
3754221,3.6,3.3,2.25,0.2709,0.2956
3754198,2.5,3.5,3.0,0.3925,0.2804
3754193,1.33,5.75,10.0,0.733,0.1695
3754222,2.0,3.6,4.0,0.4865,0.2703
3754213,2.75,3.4,2.75,0.356,0.288
3754212,1.53,4.33,7.0,0.6362,0.2248
3754223,3.8,3.5,2.1,0.2567,0.2787
3754197,4.2,3.8,1.91,0.2323,0.2568
3754208,1.7,4.0,5.5,0.5767,0.2451
3754204,1.91,3.5,4.75,0.5134,0.2802
3754194,2.6,3.5,2.8,0.3743,0.2781
3754219,2.55,3.3,3.0,0.3813,0.2946
3754254,1.36,5.25,10.0,0.7168,0.1857
3754230,2.05,3.6,3.8,0.4742,0.27
3754285,2.63,3.25,2.75,0.3616,0.2926
3754233,5.0,4.0,1.73,0.1945,0.2432
3754270,1.8,3.75,5.0,0.5435,0.2609
3754237,1.95,3.5,4.33,0.4981,0.2775
3754257,5.5,4.2,1.67,0.1785,0.2337
3754266,2.5,3.3,3.1,0.39,0.2955
3754256,3.25,3.4,2.38,0.3011,0.2878
3754288,4.0,3.8,1.95,0.2437,0.2565
3754238,2.25,3.5,3.4,0.4339,0.2789
3754269,2.05,3.4,4.2,0.4782,0.2883
3754234,3.4,3.5,2.25,0.2871,0.2789
3754246,1.2,8.0,15.0,0.813,0.122
3754296,2.45,3.5,3.0,0.3974,0.2781
3754273,2.6,3.4,2.9,0.3758,0.2873
3754263,2.2,3.6,3.4,0.4428,0.2706
3754268,2.0,3.5,4.2,0.4884,0.2791
3754286,2.15,3.5,3.6,0.4522,0.2778
3754291,3.75,3.5,2.1,0.2593,0.2778
3754283,1.57,4.2,6.5,0.6191,0.2314
3754235,2.05,3.5,4.0,0.4766,0.2791
3754279,1.91,3.4,4.5,0.5035,0.2828
3754276,1.36,5.5,9.0,0.7151,0.1768
3754287,1.44,4.5,7.5,0.6614,0.2116
3754259,2.1,3.4,3.9,0.4638,0.2865
3754335,2.3,3.5,3.3,0.4248,0.2791
3754298,2.3,3.4,3.4,0.425,0.2875
3754315,2.4,3.4,3.2,0.4072,0.2874
3754330,2.5,3.3,3.1,0.39,0.2955
3754337,2.05,3.5,4.0,0.4766,0.2791
3754297,1.33,5.25,12.0,0.733,0.1857
3754301,7.0,4.33,1.53,0.139,0.2248
3754323,2.25,3.5,3.4,0.4339,0.2789
3754304,1.7,3.9,5.5,0.5731,0.2498
3754311,2.45,3.4,3.1,0.3983,0.287
3754328,1.3,6.0,11.0,0.7491,0.1623
3754309,3.6,3.5,2.05,0.2642,0.2718
3754325,3.2,3.2,2.5,0.3049,0.3049
3754329,2.25,3.5,3.4,0.4339,0.2789
3754302,1.75,4.0,5.0,0.5594,0.2448
3754013,3.2,3.5,2.35,0.3053,0.2791
3754044,1.45,4.5,8.5,0.6699,0.2158
3754351,1.67,3.8,6.0,0.5821,0.2558
3754343,1.91,3.8,3.8,0.4987,0.2507
3754109,1.57,4.2,6.5,0.6191,0.2314
3754182,2.9,3.5,2.55,0.3372,0.2794
3754240,1.29,6.0,12.0,0.7561,0.1626
3754336,4.0,3.6,2.0,0.2432,0.2703
3754247,1.57,4.0,7.0,0.6185,0.2428
3754156,1.85,3.8,4.5,0.5269,0.2565
3754265,1.73,4.0,5.0,0.5623,0.2432
3754000,4.75,3.8,1.8,0.2045,0.2557
3754003,2.0,3.4,4.33,0.4878,0.2869
3754344,1.95,3.6,4.33,0.502,0.2719
3754131,2.38,3.4,3.2,0.4092,0.2864
3754300,1.7,3.9,5.5,0.5731,0.2498
3754312,5.25,3.9,1.73,0.1858,0.2502
3754138,2.55,3.3,3.0,0.3813,0.2946
3754203,2.25,3.5,3.4,0.4339,0.2789
3754190,1.85,3.6,4.75,0.5254,0.27
3754066,2.1,3.5,3.75,0.463,0.2778
3754034,1.95,3.6,4.33,0.502,0.2719
3753985,3.4,3.4,2.3,0.2875,0.2875
3753987,2.63,3.6,2.75,0.3722,0.2719
3754189,2.8,3.3,2.75,0.3488,0.296
3754129,1.75,4.0,5.0,0.5594,0.2448
3754180,4.0,3.4,2.1,0.245,0.2883
3754059,6.5,4.0,1.62,0.1507,0.2448
3754064,2.63,3.4,2.88,0.3722,0.2879
3754065,1.75,3.8,5.25,0.5575,0.2567
3754173,1.44,4.75,8.0,0.6742,0.2044
3754175,2.1,3.3,4.0,0.4627,0.2944
3753973,1.75,3.8,5.25,0.5575,0.2567
3753975,3.0,3.4,2.5,0.3244,0.2863
3753976,1.36,5.25,10.0,0.7168,0.1857
3753977,2.4,3.25,3.3,0.4056,0.2995
3753980,2.7,3.5,2.7,0.3608,0.2784
3753981,3.2,3.25,2.45,0.3039,0.2992
3753982,2.25,3.4,3.5,0.4339,0.2871
3753986,1.55,4.0,5.75,0.6035,0.2338
3753988,1.95,3.5,4.33,0.4981,0.2775
3753989,1.75,4.0,5.0,0.5594,0.2448
3753990,4.5,4.0,1.8,0.2162,0.2432
3753991,2.63,3.4,2.88,0.3722,0.2879
3753992,2.05,3.6,3.9,0.4773,0.2718
3753994,1.36,5.5,9.0,0.7151,0.1768
3753997,1.91,3.5,4.75,0.5134,0.2802
3753998,3.6,3.4,2.2,0.2706,0.2865
3754002,1.57,4.33,6.25,0.6197,0.2247
3754004,1.91,3.6,4.5,0.5115,0.2714
3754005,2.0,3.5,4.2,0.4884,0.2791
3754009,1.33,5.75,9.5,0.7292,0.1687
3754012,2.8,3.25,2.5,0.3354,0.289
3754016,1.53,4.0,6.0,0.6107,0.2336
3754018,3.1,3.5,2.4,0.3147,0.2788
3754019,2.6,3.3,3.0,0.3767,0.2968
3754021,2.0,3.6,4.0,0.4865,0.2703
3754022,2.05,3.4,3.6,0.4603,0.2775
3754024,2.3,3.4,3.4,0.425,0.2875
3754026,2.05,3.5,3.9,0.4736,0.2774
3754027,1.36,5.25,9.5,0.7132,0.1847
3754030,3.4,3.3,2.15,0.2769,0.2853
3754031,5.25,3.75,1.75,0.1852,0.2593
3754032,2.05,3.3,4.2,0.4741,0.2945
3754033,1.91,4.0,4.0,0.5115,0.2442
3754035,1.33,5.0,9.0,0.7073,0.1881
3754036,2.5,3.25,3.2,0.3921,0.3016
3754061,1.5,4.5,7.5,0.6522,0.2174
3754062,1.44,4.5,9.0,0.6757,0.2162
3754063,1.7,3.8,5.75,0.5737,0.2567
3754069,1.29,6.5,11.0,0.76,0.1508
3754070,5.75,4.2,1.65,0.1708,0.2339
3754071,1.8,3.6,5.25,0.5426,0.2713
3754075,6.5,4.33,1.57,0.1506,0.226
3754080,1.5,4.33,8.0,0.6519,0.2258
3754081,4.33,3.4,2.0,0.2253,0.2869
3754084,2.1,3.3,4.0,0.4627,0.2944
3754086,1.57,4.33,6.5,0.6234,0.226
3754087,2.5,3.4,3.0,0.3893,0.2863
3754088,5.0,3.7,1.8,0.195,0.2635
3754089,2.45,3.3,3.2,0.3987,0.296
3754092,2.75,3.6,2.63,0.3559,0.2719
3754094,1.7,3.75,5.75,0.5718,0.2592
3754095,8.0,4.75,1.45,0.1219,0.2054
3754100,2.1,3.5,3.8,0.4645,0.2787
3754101,3.2,3.4,2.4,0.3054,0.2874
3754103,4.33,3.5,1.95,0.2243,0.2775
3754108,3.0,3.5,2.45,0.3245,0.2781
3754110,5.0,4.0,1.73,0.1945,0.2432
3754111,2.1,3.5,3.9,0.4676,0.2806
3754114,3.8,3.5,2.1,0.2567,0.2787
3754116,3.75,3.4,2.0,0.2514,0.2773
3754118,1.36,5.25,10.0,0.7168,0.1857
3754120,1.73,3.8,5.5,0.565,0.2572
3754121,2.38,3.25,3.0,0.3959,0.2899
3754122,2.8,3.2,2.8,0.3478,0.3043
3754123,1.8,4.0,4.5,0.5405,0.2432
3754124,1.83,3.75,4.75,0.5338,0.2605
3754125,1.83,3.75,4.75,0.5338,0.2605
3754127,2.7,3.4,2.8,0.3625,0.2879
3754132,2.75,3.3,2.8,0.3552,0.296
3754134,3.0,3.5,2.45,0.3245,0.2781
3754137,2.7,3.4,2.8,0.3625,0.2879
3754139,3.2,3.25,2.5,0.3063,0.3016
3754140,2.8,3.5,2.63,0.3491,0.2793
3754142,1.53,4.75,6.0,0.6341,0.2042
3754144,3.75,3.6,2.1,0.2613,0.2722
3754147,2.1,3.75,3.6,0.4666,0.2613
3754149,6.0,4.75,1.53,0.1617,0.2042
3754151,2.05,3.5,4.0,0.4766,0.2791
3754152,3.4,3.4,2.1,0.2763,0.2763
3754154,1.57,4.5,6.0,0.6209,0.2166
3754155,2.4,3.2,3.4,0.4072,0.3054
3754158,1.44,4.75,8.0,0.6742,0.2044
3754159,1.67,4.2,5.25,0.5828,0.2318
3754161,2.38,3.25,3.4,0.4111,0.3011
3754163,1.73,3.8,5.5,0.565,0.2572
3754164,1.6,4.0,6.5,0.6075,0.243
3754165,2.1,3.4,3.9,0.4638,0.2865
3754168,1.73,3.75,5.5,0.5631,0.2598
3754170,2.0,3.6,4.0,0.4865,0.2703
3754172,2.4,3.3,3.25,0.4056,0.295
3754176,1.95,3.6,4.2,0.4985,0.27
3754177,2.63,3.4,2.88,0.3722,0.2879
3754179,3.6,3.5,2.15,0.2701,0.2778
3754181,3.0,3.4,2.5,0.3244,0.2863
3754183,1.95,3.5,4.33,0.4981,0.2775
3754184,1.29,6.5,11.0,0.76,0.1508
3754187,4.5,3.75,1.85,0.2159,0.259
3754191,1.55,4.33,6.5,0.6264,0.2242
3754192,4.0,3.4,2.1,0.245,0.2883
3754195,2.2,3.25,3.75,0.4418,0.299
3754196,2.7,3.2,2.9,0.3604,0.3041
3754199,3.5,3.6,2.15,0.2778,0.2701
3754200,1.91,3.5,4.75,0.5134,0.2802
3754201,1.75,3.75,5.25,0.5556,0.2593
3754202,4.33,3.6,1.95,0.2261,0.2719
3754206,6.0,4.5,1.57,0.1625,0.2166
3754207,1.83,3.75,4.75,0.5338,0.2605
3754209,1.91,3.5,4.0,0.4943,0.2697
3754210,4.5,3.6,1.91,0.2171,0.2714
3754214,4.75,3.6,1.85,0.2046,0.27
3754215,4.75,3.6,1.85,0.2046,0.27
